iter	Logloss
0	0.6818561926
1	0.6700746403
2	0.6585432435
3	0.6486189632
4	0.63993123
5	0.6304917083
6	0.6227680263
7	0.6145739951
8	0.6074837756
9	0.5990031104
10	0.5920894078
11	0.5859393597
12	0.5787235028
13	0.5725952481
14	0.567374338
15	0.5624888544
16	0.5572898878
17	0.5530867745
18	0.5484531991
19	0.5432430994
20	0.539620725
21	0.5358416654
22	0.5312733814
23	0.528421992
24	0.5250758702
25	0.5218380306
26	0.5183346821
27	0.5157297265
28	0.5133906374
29	0.5101853143
30	0.5072571778
31	0.5044791678
32	0.5022820153
33	0.4999089913
34	0.4972582703
35	0.4952807787
36	0.4927028267
37	0.490536308
38	0.4883539577
39	0.4863375295
40	0.484976713
41	0.4830377283
42	0.4810125826
43	0.4793617147
44	0.4777173783
45	0.4761541987
46	0.4750978648
47	0.4738803277
48	0.4722740157
49	0.4711643706
50	0.4697846802
51	0.4683532135
52	0.466782586
53	0.4651192811
54	0.4636738687
55	0.4620353822
56	0.4609499936
57	0.4595482198
58	0.4581380364
59	0.456688538
60	0.4555174531
61	0.4540174389
62	0.4527507564
63	0.4514559523
64	0.4505922758
65	0.4494307946
66	0.4486596622
67	0.4477872676
68	0.4466984656
69	0.4463524457
70	0.4453334469
71	0.4443885318
72	0.443582439
73	0.4427447993
74	0.4419942218
75	0.4408748809
76	0.440295504
77	0.4396696843
78	0.4385838994
79	0.4380276083
80	0.4372806586
81	0.4366872571
82	0.4359083416
83	0.4351537499
84	0.4344059413
85	0.433495303
86	0.4330005871
87	0.432263824
88	0.4317622496
89	0.4311569093
90	0.4304569762
91	0.4300174625
92	0.42939254
93	0.4289347366
94	0.4282523123
95	0.4274252744
96	0.4267047696
97	0.426018518
98	0.4251607398
99	0.4246114238
100	0.4239845244
101	0.4235716955
102	0.4230234127
103	0.4224499654
104	0.4216530614
105	0.4211218009
106	0.4205247308
107	0.4202283636
108	0.4201742869
109	0.4198327583
110	0.4192806542
111	0.4186317694
112	0.4180814649
113	0.4174745878
114	0.4172601139
115	0.4167993108
116	0.4162445917
117	0.4157117357
118	0.4151501181
119	0.4143652886
120	0.4139557974
121	0.4132806459
122	0.4129488063
123	0.412436217
124	0.4121258343
125	0.4117500356
126	0.4111725445
127	0.4108112949
128	0.4104364414
129	0.4100725053
130	0.4094023371
131	0.4091966028
132	0.4087836448
133	0.4082059146
134	0.4078287492
135	0.4074878495
136	0.407060429
137	0.4067208658
138	0.4062766127
139	0.4058880876
140	0.4055222187
141	0.4050696858
142	0.4045254874
143	0.403996846
144	0.4035874236
145	0.4032955834
146	0.4029931756
147	0.4026353923
148	0.4023778246
149	0.4021425191
150	0.4018327646
151	0.4012540368
152	0.4007440715
153	0.4003645025
154	0.4000456421
155	0.3998334518
156	0.399617383
157	0.399283715
158	0.3989499357
159	0.3987778932
160	0.3983790019
161	0.3981229006
162	0.3976813606
163	0.3973135079
164	0.3968946244
165	0.3965859929
